"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VEC","Vectrus, Inc.","16.58","177901609.36","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/vec",
"VEDL","Vedanta  Limited","11.67","8650387500","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/vedl",
"VECO","Veeco Instruments Inc.","21.68","881032858.96","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/veco",
"VEEV","Veeva Systems Inc.","37.75","5141156569.5","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/veev",
"DGLD","VelocityShares 3x Inverse Gold ETN linked to S&P GSCI Gold Ind","50.64","18028346.4","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld",
"DSLV","VelocityShares 3x Inverse Silver ETN linked to S&P GSCI Silver","26.33","19824804.88","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dslv",
"UGLD","VelocityShares 3x Long Gold ETN linked to the S&P GSCI Gold In","11.14","88736984.52","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ugld",
"USLV","VelocityShares 3x Long Silver ETN linked to the S&P GSCI Silve","16.48","244191790.24","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/uslv",
"TVIZ","VelocityShares Daily 2x VIX Medium Term ETN","8.78","1883239.76","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/tviz",
"TVIX","VelocityShares Daily 2x VIX Short Term ETN","18.44","306766641.4","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/tvix",
"ZIV","VelocityShares Daily Inverse VIX Medium Term ETN","43.87","74052560","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ziv",
"XIV","VelocityShares Daily Inverse VIX Short Term ETN","36.97","612921304.51","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/xiv",
"VIIZ","VelocityShares VIX Medium Term ETN","12.99","844350","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/viiz",
"VIIX","VelocityShares VIX Short Term ETN","11.62","13897124.92","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/viix",
"APPY","Venaxis, Inc.","2.31","8955779.91","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/appy",
"VTRB","Ventas Realty, Limited Partnership // Ventas Capital Corporati","26.38","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vtrb",
"VTR","Ventas, Inc.","66.5","23364778923.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vtr",
"VRA","Vera Bradley, Inc.","14.43","527928967.02","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/vra",
"VCYT","Veracyte, Inc.","7.58","211212470.36","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/vcyt",
"VSTM","Verastem, Inc.","1.49","55118702.82","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vstm",
"VER","VEREIT Inc.","9.61","8698875419.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ver",
"VER^F","VEREIT Inc.","26.21","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ver^f",
"VCEL","Vericel Corporation","2.44","58548083.04","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vcel",
"PAY","Verifone Systems, Inc.","15.37","1705652643.02","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/pay",
"VRNT","Verint Systems Inc.","35.49","2240796757.29","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vrnt",
"VRSN","VeriSign, Inc.","76.25","8140947683.75","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsn",
"VRSK","Verisk Analytics, Inc.","79.52","13436511814.88","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vrsk",
"VBTX","Veritex Holdings, Inc.","17.46","187396538.76","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vbtx",
"VRTV","Veritiv Corporation","52.6","841648444.6","n/a","n/a","Consumer Services","Paper","http://www.nasdaq.com/symbol/vrtv",
"VZ","Verizon Communications Inc.","50.3","205037982199.9","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vz",
"VZA","Verizon Communications Inc.","27.98","0","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vza",
"VET","Vermilion Energy Inc.","40.12","4694484970.92","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vet",
"VRML","Vermillion, Inc.","1.15","60055622","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vrml",
"VSR","Versar, Inc.","1.31","12959539.18","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsr",
"VSAR","Versartis, Inc.","11.68","345041379.52","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vsar",
"VRS","Verso Corporation","6.08","209095109.44","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/vrs",
"VSM","Versum Materials, Inc.","23.34","2529240430.38","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/vsm",
"VTNR","Vertex Energy, Inc","1.04","32249258.08","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/vtnr",
"VRTX","Vertex Pharmaceuticals Incorporated","80.15","19859462644.7","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vrtx",
"VRTB","Vestin Realty Mortgage II, Inc.","2.52","6101713.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vrtb",
"VIA","Viacom Inc.","39.55","15687745472.35","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/via",
"VIAB","Viacom Inc.","35.12","12202799133.44","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/viab",
"VVI","Viad Corp","35.35","717075881.2","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/vvi",
"VMET","Viamet Pharmaceuticals Corp.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vmet",
"VSAT","ViaSat, Inc.","72.63","3579713139.51","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vsat",
"VIAV","Viavi Solutions Inc.","7.43","1725974860.71","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/viav",
"VICL","Vical Incorporated","3.04","27987404.32","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vicl",
"VII","Vicon Industries, Inc.","0.63","5889484.44","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vii",
"VICR","Vicor Corporation","11.8","458117984.4","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vicr",
"CIZ","Victory CEMP Developed Enhanced Volatility Wtd Index ETF","29.0564","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ciz",
"CEZ","Victory CEMP Emerging Market Volatility Wtd Index ETF","25.94","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cez",
"CID","Victory CEMP International High Div Volatility Wtd Index ETF","31.2112","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cid",
"CIL","Victory CEMP International Volatility Wtd Index ETF","33.6229","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cil",
"CFO","Victory CEMP US 500 Enhanced Volatility Wtd Index ETF","38.047","26632900","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfo",
"CFA","Victory CEMP US 500 Volatility Wtd Index ETF","38.12","7624000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfa",
"CSF","Victory CEMP US Discovery Enhanced Volatility Wtd Index ETF","35.5338","19543590","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csf",
"CDC","Victory CEMP US EQ Income Enhanced Volatility Wtd Index ETF","39.09","25408500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdc",
"CDL","Victory CEMP US Large Cap High Div Volatility Wtd Index ETF","38.107","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdl",
"CSB","Victory CEMP US Small Cap High Div Volatility Wtd Index ETF","36.33","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csb",
"CSA","Victory CEMP US Small Cap Volatility Wtd Index ETF","36.478","1869440667.276","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/csa",
"VBND","Vident Core U.S. Bond Strategy Fund","51.49","442814000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vbnd",
"VUSE","Vident Core US Equity ETF","26.46","402192000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vuse",
"VIDI","Vident International Equity Fund","21.64","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vidi",
"VDTH","Videocon d2h Limited","8.7","328424130","37749900","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/vdth",
"VRAY","ViewRay, Inc.","4.29","164721092.25","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/vray",
"VKTX","Viking Therapeutics, Inc.","1.2","23133181.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vktx",
"VKTXW","Viking Therapeutics, Inc.","0.45","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vktxw",
"VBFC","Village Bank and Trust Financial Corp.","23.5","33479510","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/vbfc",
"VLGEA","Village Super Market, Inc.","31.96","451527076.76","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/vlgea",
"VIP","VimpelCom Ltd.","3.33","5849914679.55","1756731135","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vip",
"VCO","Vina Concha Y Toro","35.1","1310995494.9","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/vco",
"VNCE","Vince Holding Corp.","5.59","276215220.97","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/vnce",
"VMEM","Violin Memory, Inc.","0.472","11884165.152","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/vmem",
"VNOM","Viper Energy Partners LP","16.15","1400901452.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/vnom",
"VIPS","Vipshop Holdings Limited","15","8818747950","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/vips",
"VIRC","Virco Manufacturing Corporation","4.3","65272555.2","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/virc",
"VA","Virgin America Inc.","52.39","2340629706.48","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/va",
"VHC","VirnetX Holding Corp","3.82","216441348.98","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/vhc",
"VIRT","Virtu Financial, Inc.","14.05","1949707274.05","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/virt",
"ZTR","Virtus Global Dividend & Income Fund Inc.","11.8","318945268","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ztr",
"VGI","Virtus Global Multi-Sector Income Fund","15.45","173893396.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vgi",
"VRTS","Virtus Investment Partners, Inc.","98.16","757631861.76","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/vrts",
"DCA","Virtus Total Return Fund","4.49","123322829.41","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dca",
"VRTU","Virtusa Corporation","22.4","669071603.2","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/vrtu",
"V","Visa Inc.","82.25","194176624145","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/v",
"VSH","Vishay Intertechnology, Inc.","14.02","2059590084.3","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vsh",
"VPG","Vishay Precision Group, Inc.","15.67","206721821.01","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/vpg",
"VISN","VisionChina Media, Inc.","6.08","24092133.76","3962522","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/visn",
"VGZ","Vista Gold Corporation","0.8801","86028549.9008","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/vgz",
"VSTO","Vista Outdoor Inc.","37.32","2251688018.4","n/a","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/vsto",
"VTGN","VistaGen Therapeutics, Inc.","4.36","34752273.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtgn",
"VC","Visteon Corporation","69.5","2363891754.5","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/vc",
"VTAE","Vitae Pharmaceuticals, Inc.","20.95","604220353.65","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtae",
"VTL","Vital Therapies, Inc.","6.14","193660886.54","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtl",
"VSI","Vitamin Shoppe, Inc","27.88","669145761.12","n/a","n/a","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/vsi",
"VIVE","Viveve Medical, Inc.","6.76","71702772.44","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/vive",
"VSLR","Vivint Solar, Inc.","3.16","340373560.32","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/vslr",
"VVUS","VIVUS, Inc.","1.1","114600190.1","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vvus",
"VMW","Vmware, Inc.","73.21","31070927836.08","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/vmw",
"VOC","VOC Energy Trust","3.21","54570000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/voc",
"VCRA","Vocera Communications, Inc.","18.12","489613543.8","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/vcra",
"VOD","Vodafone Group Plc","27.87","11148887910.33","400031859","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vod",
"VNRX","VolitionRX Limited","5.27","123956824.13","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/vnrx",
"VISI","Volt Information Sciences, Inc.","6.51","136022433.33","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/visi",
"VLTC","Voltari Corporation","2.19","19698642.66","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/vltc",
"VG","Vonage Holdings Corp.","6.37","1378650411.32","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vg",
"VNO","Vornado Realty Trust","95.36","18006401587.2","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/vno",
"VNO^G","Vornado Realty Trust","25.458","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^g",
"VNO^I","Vornado Realty Trust","25.5323","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^i",
"VNO^K","Vornado Realty Trust","25.13","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^k",
"VNO^L","Vornado Realty Trust","24.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vno^l",
"VJET","voxeljet AG","4.49","83514000","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/vjet",
"VOXX","VOXX International Corporation","3.8","91809231.2","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/voxx",
"IAE","Voya Asia Pacific High Dividend Equity Income Fund","9.43","119298996.01","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iae",
"IHD","Voya Emerging Markets High Income Dividend Equity Fund","7.93","154950764.67","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ihd",
"VOYA","Voya Financial, Inc.","30.91","6189140859.11","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/voya",
"IGA","Voya Global Advantage and Premium Opportunity Fund","9.63","176744898.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iga",
"IGD","Voya Global Equity Dividend and Premium Opportunity Fund","7.1","692597367.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igd",
"IDE","Voya Infrastructure, Industrials and Materials Fund","12.59","249344950","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ide",
"IID","Voya International High Dividend Equity Income Fund","6.37","53541162.22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iid",
"IRR","Voya Natural Resources Equity Income Fund","6.46","147068670.08","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/irr",
"PPR","Voya Prime Rate Trust","5.24","774407500.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ppr",
"VYGR","Voyager Therapeutics, Inc.","11.27","301230025.95","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/vygr",
"VSEC","VSE Corporation","32.17","347393664.28","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/vsec",
"VTTI","VTTI Energy Partners LP","18.71","753077500","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/vtti",
"VTVT","vTv Therapeutics Inc.","6.98","229031250","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/vtvt",
"VMC","Vulcan Materials Company","107.41","14293223670.89","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/vmc",
"VUZI","Vuzix Corporation","7.9","137113671.9","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/vuzi",
"VWR","VWR Corporation","27.56","3623521250.44","n/a","n/a","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/vwr",
"WTI","W&T Offshore, Inc.","1.52","116485134.64","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wti",
"WPC","W.P. Carey Inc.","61.54","6506853559.58","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/wpc",
"WRB","W.R. Berkley Corporation","58.18","7141910161.06","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/wrb",
"WRB^B","W.R. Berkley Corporation","25.55","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^b",
"WRB^C","W.R. Berkley Corporation","25.37","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^c",
"WRB^D","W.R. Berkley Corporation","25.25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wrb^d",
"GRA","W.R. Grace & Co.","70.76","4976877357.4","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gra",
"GWW","W.W. Grainger, Inc.","218.06","13175742561.36","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/gww",
"WNC","Wabash National Corporation","13.84","884632330.64","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","108.77","6068038570.92","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/wbc",
"WDR","Waddell & Reed Financial, Inc.","17.81","1475393454.73","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/wdr",
